attribute_id,required_seller
FORRO_DE_MALLA_ATT,0
FRAGANCIA_ATT,0
FRENOS_ATT,0
FUENTE_DE_ALIMENTACION_ATT,0
FUENTE_DE_ENERGIA_ATT,0
FUNCION_ANTIARRUGAS_ATT,0
FUNCION_ATT,0
FUNCION_BAGEL_ATT,0
FUNCION_DESCONGELAR_ATT,0
FUNCION_GRILL_ATT,0
FUNCION_MANTENER_CALIENTE_ATT,0
FUNCIONALIDAD_ATT,0
FUNCIONES_ATT,0
FUNDA_ATT,0
FUNDA_DESMONTABLE_ATT,0
GARANTIA_DE_LA_BASE_ATT,0
GARANTIA_DE_LA_ESTRUCTURA_RESOR_ATT,0
GARANTIA_DE_TELAS_Y_RELLENO_ATT,0
GARANTIA_DEL_PROVEEDOR_ATT,0
GARANTIA_DEL_PROVEEDOR_DEL_MOTOR_ATT,0
GENERACION_DEL_PROCESADOR_ATT,0
GENERADOR_DE_IONES_ATT,0
GENERO_INFANTIL_ATT,0
GENERO_LIBROS_ATT,0
GENERO_VESTUARIO_ATT,0
GENERO_VIDEOJUEGOS_ATT,0
GPS_INTEGRADO_ATT,0
GRABACION_DE_VIDEO_ATT,0
GRADO_IP_ATT,0
GRADOS_O_NIVELES_DE_INCLINACION_ATT,0
GRADUACION_ALCOHOLICA_ATT,0
GRADUACION_LENTES_ATT,0
GRAMAJE_ATT,0
GRILL_ATT,0
GROSOR_ANCHO_DE_LAS_RUEDAS_ATT,0
GROSOR_ATT,0
GUIA_DE_CUIDADO_ATT,0
HECHO_EN_ATT,0
HIPOALERGENICO_ATT,0
HOJA_COMPLETA_ATT,0
HOJAS_DE_APERTURA_ATT,0
HORMA_ATT,0
HORNO_AUTOLIMPIANTE_ATT,0
HORQUILLA_ATT,0
ICE_MAKER_INTERIOR_ATT,0
IDIOMA_ATT,0
IDIOMA_DEL_TECLADO_ATT,0
ILUMINACION_ATT,0
IMPEDANCIA_HZ_ATT,0
IMPEDANCIA_OHM_ATT,0
IMPERMEABILIDAD_DE_LA_TELA_ATT,0
IMPERMEABLE_ATT,0
INALAMBRICA_ATT,0
INALAMBRICO_ATT,0
INCLUYE_ACCESORIOS_ATT,0
INCLUYE_ARMADO_ATT,0
INCLUYE_ATT,0
INCLUYE_BASE_ATT,0
INCLUYE_BASE_PARA_AUTO_ATT,0
INCLUYE_BASE_PARA_SILLA_ATT,0
INCLUYE_BATERIA_ATT,0
INCLUYE_BOLSA_PARA_VIAJE_ATT,0
INCLUYE_BOLSO_DE_TRANSPORTE_ATT,0
INCLUYE_CAMBIADOR_ATT,0
INCLUYE_CANDADO_ATT,0
INCLUYE_CINTURON_ATT,0
INCLUYE_CINTURON_DE_SEGURIDAD_ATT,0
INCLUYE_COJINES_DECORATIVOS_ATT,0
INCLUYE_COLCHON_ATT,0
INCLUYE_DORMITORIO_ATT,0
INCLUYE_ESCALERA_ATT,0
INCLUYE_ESTACAS_ATT,0
INCLUYE_FIJACION_ATT,0
INCLUYE_FILTRO_ATT,0
INCLUYE_FUNDA_ATT,0
INCLUYE_FUNDA_DE_ALMOHADA_ATT,0
INCLUYE_FUNDA_DE_COJIN_ATT,0
INCLUYE_GRIPS_ATT,0
INCLUYE_HERRAMIENTAS_DE_ARMADO_ATT,0
INCLUYE_JUEGOS_DE_DORMITORIO_ATT,0
INCLUYE_LEASH_ATT,0
INCLUYE_LLAVE_ATT,0
INCLUYE_LUZ_ATT,0
INCLUYE_MANUAL_ATT,0
INCLUYE_MELODIAS_ATT,0
INCLUYE_MICROFONO_ATT,0
INCLUYE_MOSQUITERO_ATT,0
INCLUYE_PARLANTES_ATT,0
INCLUYE_PILAS_ATT,0
INCLUYE_PORTABEBE_ATT,0
INCLUYE_PROTECTOR_DE_COLCHON_ATT,0
INCLUYE_QUILLAS_ATT,0
INCLUYE_RECEPTOR_DE_GASES_ATT,0
INCLUYE_RED_DE_SEGURIDAD_ATT,0
INCLUYE_RUEDAS_ATT,0
INCLUYE_SABANA_AJUSTABLE_ATT,0
INCLUYE_SABANA_SUPERIOR_ATT,0
